show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;note
81145628;movie;norm of the north: king sized adventure;richard finn, tim maltby;alan marriott, andrew toth, brian dobson, cole howard, jennifer cameron, jonathan holmes, lee tockar, lisa durupt, maya kay, michael dobson;united states, india, south korea, china;september 9, 2019;2019;tv-pg;90 min;children & family movies, comedies;before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.;3,1 based on 272 user ratings
80117401;movie;jandino: whatever it takes;nan;jandino asporaat;united kingdom;september 9, 2016;2016;tv-ma;94 min;stand-up comedy;"jandino asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""sex on fire"" in his comedy show.";5,2 based on 17 user ratings
70234439;tv show;transformers prime;nan;peter cullen, sumalee montano, frank welker, jeffrey combs, kevin michael richardson, tania gunadi, josh keaton, steve blum, andy pessoa, ernie hudson, daran norris, will friedle;united states;september 8, 2018;2013;tv-y7-fv;1 season;kids' tv;with the help of three human allies, the autobots once again protect earth from the onslaught of the decepticons and their leader, megatron.;7,8 based on 5 076 user ratings
80058654;tv show;transformers: robots in disguise;nan;will friedle, darren criss, constance zimmer, khary payton, mitchell whitfield, stuart allan, ted mcginley, peter cullen;united states;september 8, 2018;2016;tv-y7;1 season;kids' tv;when a prison ship crash unleashes hundreds of decepticons on earth, bumblebee leads a new autobot force to protect humankind.;6,0 based on 790 user ratings
80125979;movie;#realityhigh;fernando lebrija;nesta cooper, kate walsh, john michael higgins, keith powers, alicia sanz, jake borelli, kid ink, yousef erakat, rebekah graf, anne winters, peter gilroy, patrick davis;united states;september 8, 2017;2017;tv-14;99 min;comedies;when nerdy high schooler dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.;5,2 based on 5 164 user ratings
80163890;tv show;apaches;nan;alberto ammann, eloy azorã­n, verã³nica echegui, lucã­a jimã©nez, claudia traisac;spain;september 8, 2017;2016;tv-ma;1 season;crime tv shows, international tv shows, spanish-language tv shows;a young journalist is forced into a life of crime to save his father and family in this series based on the novel by miguel sã¡ez carral.;6,9 based on 201 user ratings
70304989;movie;automata;gabe ibã¡ã±ez;antonio banderas, dylan mcdermott, melanie griffith, birgitte hjort sã¸rensen, robert forster, christa campbell, tim mcinnerny, andy nyman, david ryall;bulgaria, united states, spain, canada;september 8, 2017;2014;r;110 min;international movies, sci-fi & fantasy, thrillers;in a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.;6,1 based on 53 035 user ratings
80164077;movie;fabrizio copano: solo pienso en mi;rodrigo toro, francisco schultz;fabrizio copano;chile;september 8, 2017;2017;tv-ma;60 min;stand-up comedy;fabrizio copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family whatsapp groups and more.;4,9 based on 23 user ratings
80117902;tv show;fire chasers;nan;nan;united states;september 8, 2017;2017;tv-ma;1 season;docuseries, science & nature tv;as california's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.;6,6 based on 298 user ratings
70304990;movie;good people;henrik ruben genz;james franco, kate hudson, tom wilkinson, omar sy, sam spruell, anna friel, thomas arnold, oliver dimsdale, diana hardcastle, michael jibson, diarmaid murtagh;united states, united kingdom, denmark, sweden;september 8, 2017;2014;r;90 min;action & adventure, thrillers;a struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.;5,5 based on 15 056 user ratings
80169755;movie;joaquã­n reyes: una y no mã¡s;josã© miguel contreras;joaquã­n reyes;nan;september 8, 2017;2017;tv-ma;78 min;stand-up comedy;comedian and celebrity impersonator joaquã­n reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.;
70299204;movie;kidnapping mr. heineken;daniel alfredson;jim sturgess, sam worthington, ryan kwanten, anthony hopkins, mark van eeuwen, thomas cocquerel, jemima west, david dencik;netherlands, belgium, united kingdom, united states;september 8, 2017;2015;r;95 min;action & adventure, dramas, international movies;"when beer magnate alfred ""freddy"" heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.";6,1 based on 18 858 user ratings
80182480;movie;krish trish and baltiboy;nan;damandeep singh baggan, smita malhotra, baba sehgal;nan;september 8, 2017;2009;tv-y7;58 min;children & family movies;a team of minstrels, including a monkey, cat and donkey, narrate folktales from the indian regions of rajasthan, kerala and punjab.;2,8 based on 5 user ratings
80182483;movie;krish trish and baltiboy: battle of wits;munjal shroff, tilak shetty;damandeep singh baggan, smita malhotra, baba sehgal, deepak chachra;nan;september 8, 2017;2013;tv-y7;62 min;children & family movies;an artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.;
80182596;movie;krish trish and baltiboy: best friends forever;munjal shroff, tilak shetty;damandeep singh baggan, smita malhotra, deepak chachra;nan;september 8, 2017;2016;tv-y;65 min;children & family movies;a cat, monkey and donkey team up to narrate folktales about friendship from northeast india, and the indian regions of bihar and rajasthan.;
80182482;movie;krish trish and baltiboy: comics of india;tilak shetty;damandeep singh baggan, smita malhotra, baba sehgal;nan;september 8, 2017;2012;tv-y7;61 min;children & family movies;in three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.;
80182597;movie;krish trish and baltiboy: oversmartness never pays;tilak shetty;rishi gambhir, smita malhotra, deepak chachra;nan;september 8, 2017;2017;tv-y7;65 min;children & family movies;a cat, monkey and donkey learn the consequences of cheating through stories from the indian regions of rajasthan, west bengal and maharashtra.;
80182481;movie;krish trish and baltiboy: part ii;nan;damandeep singh baggan, smita malhotra, baba sehgal;nan;september 8, 2017;2010;tv-y7;58 min;children & family movies;animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.;2,8 based on 5 user ratings
80182621;movie;krish trish and baltiboy: the greatest trick;munjal shroff, tilak shetty;damandeep singh baggan, smita malhotra, baba sehgal;nan;september 8, 2017;2013;tv-y7;60 min;children & family movies;the consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.;
80057969;movie;love;gaspar noã©;karl glusman, klara kristin, aomi muyock, ugo fox, juan saavedra, gaspar noã©, isabelle nicou, benoã®t debie, vincent maraval, dã©borah rã©vy;france, belgium;september 8, 2017;2015;nr;135 min;cult movies, dramas, independent movies;a man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.;6,1 based on 43 116 user ratings
80060297;movie;manhattan romance;tom o'brien;tom o'brien, katherine waterston, caitlin fitzgerald, gaby hoffmann, louis cancelmi, zach grenier;united states;september 8, 2017;2014;tv-14;98 min;comedies, independent movies, romantic movies;a filmmaker working on a documentary about love in modern manhattan becomes personally entangled in the romantic lives of his subjects.;5,6 based on 1 228 user ratings
80046728;movie;moonwalkers;antoine bardou-jacquet;ron perlman, rupert grint, robert sheehan, stephen campbell moore, eric lampaert, kevin bishop, tom audenaert, erika sainte;france, belgium;september 8, 2017;2015;r;96 min;action & adventure, comedies, international movies;a brain-addled war vet, a failing band manager and a stanley kubrick impersonator help the cia construct an epic scam by faking the 1969 moon landing.;6,1 based on 8 255 user ratings
80046727;movie;rolling papers;mitch dickman;nan;united states, uruguay;september 8, 2017;2015;tv-ma;79 min;documentaries;as the newspaper industry takes a hit, the denver post breaks new ground with a section dedicated to cannabis culture.;6,2 based on 444 user ratings
70304988;movie;stonehearst asylum;brad anderson;kate beckinsale, jim sturgess, david thewlis, brendan gleeson, ben kingsley, michael caine, jason flemyng, sophie kennedy clark, sinã©ad cusack, edmund kingsley;united states;september 8, 2017;2014;pg-13;113 min;horror movies, thrillers;in 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.;6,8 based on 49 329 user ratings
80057700;movie;the runner;austin stark;nicolas cage, sarah paulson, connie nielsen, wendell pierce, bryan batt, peter fonda, dana gourrier;united states;september 8, 2017;2015;r;90 min;dramas, independent movies;a new orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.;4,7 based on 4 883 user ratings
80045922;movie;6 years;hannah fidell;taissa farmiga, ben rosenfield, lindsay burdge, joshua leonard, jennifer lafleur, peter vack, dana wheeler-nicholson, jason newman, molly mcmichael;united states;september 8, 2015;2015;nr;80 min;dramas, independent movies, romantic movies;as a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.;5,6 based on 11 028 user ratings
80244601;tv show;castle of stars;nan;chaiyapol pupart, jintanutda lummakanon, worrawech danuwong, ornjira lamwilai, yong armchair, keerati mahapreukpong, akarat nimitchai, kornpassorn duaysianklao, nattapong chartpong;nan;september 7, 2018;2015;tv-14;1 season;international tv shows, romantic tv shows, tv comedies;as four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.;5,5 based on 6 user ratings
80203094;movie;city of joy;madeleine gavin;nan;united states,;september 7, 2018;2018;tv-ma;77 min;documentaries;women who've been sexually brutalized in war-torn congo begin to heal at city of joy, a center that helps them regain a sense of self and empowerment.;6,5 based on 4 622 user ratings
80190843;tv show;first and last;nan;nan;nan;september 7, 2018;2018;tv-ma;1 season;docuseries;take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at georgia's gwinnett county jail.;6,8 based on 306 user ratings
70241607;movie;laddaland;sopon sukdapisit;saharat sangkapreecha, pok piyatida woramusik, sutatta udomsilp, athipich chutiwatkajornchai, deuntem salitul, sahajak boonthanakit;thailand;september 7, 2018;2011;tv-ma;112 min;horror movies, international movies;when a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.;6,3 based on 1 813 user ratings
80988892;movie;next gen;kevin r. adams, joe ksander;john krasinski, charlyne yi, jason sudeikis, michael peã±a, david cross, constance wu;china, canada, united states;september 7, 2018;2018;tv-pg;106 min;children & family movies, comedies, sci-fi & fantasy;when lonely mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.;6,6 based on 12 938 user ratings
80239639;movie;sierra burgess is a loser;ian samuels;shannon purser, kristine froseth, rj cyler, noah centineo, loretta devine, giorgia whigham, alice lee, lea thompson, alan ruck, mary pat gleason, chrissy metz;united states;september 7, 2018;2018;pg-13;106 min;comedies, romantic movies;a wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.;5,8 based on 32 527 user ratings
80159586;movie;the most assassinated woman in the world;franck ribiã¨re;anna mouglalis, niels schneider, andrã© wilms, michel fau, sissi duparc, jean-michel balthazar, julie recoing, eric godon, maya coline, constance dollã©;belgium, united kingdom, united states;september 7, 2018;2018;tv-ma;102 min;dramas, international movies, thrillers;in 1930s paris, an actress famous for her gory death scenes at the grand guignol theater contends with a mysterious stalker and ghosts from her past.;5,3 based on 842 user ratings
80152447;movie;cã©zanne et moi;daniele thompson;guillaume canet, guillaume gallienne, alice pol, dã©borah franã§ois, sabine azã©ma, freya mavor, isabelle candelier, laurent stocker;belgium, france;september 7, 2017;2016;r;114 min;dramas, independent movies, international movies;this historical drama explores the long and often volatile friendship of painter paul cã©zanne and writer ã‰mile zola, who first met as schoolboys.;6,0 based on 984 user ratings
80221550;tv show;archibald's next big thing;nan;tony hale, rosamund pike, jordan fisher, chelsea kane, adam pally, kari wahlgren;nan;september 6, 2019;2019;tv-y7;1 season;kids' tv, tv comedies;happy-go-lucky chicken archibald may not remember to do his chores, but he never forgets to have fun. after all, life's an adventure!;7,8 based on 167 user ratings
81154455;movie;article 15;anubhav sinha;ayushmann khurrana, nassar, manoj pahwa, kumud mishra, isha talwar, sayani gupta, mohammed zeeshan ayyub, subhrajyoti barat, sushil pandey, aakash dabhade;india;september 6, 2019;2019;tv-ma;125 min;dramas, international movies, thrillers;the grim realities of caste discrimination come to light as an entitled but upright city cop ventures into indiaâ€™s heartland to investigate a murder.;8,2 based on 19 446 user ratings
81113928;movie;care of kancharapalem;maha venkatesh;subba rao vepada, radha bessy, kesava karri, nithyasri goru, karthik rathnam, praneetha patnaik, mohan bhagath, praveena paruchuri;nan;september 6, 2019;2018;tv-14;142 min;comedies, dramas, independent movies;from a schoolboyâ€™s crush to a middle-aged bachelorâ€™s office romance, four love stories spanning age, religion and status unfold in a small indian town.;9,0 based on 3 588 user ratings
81052275;movie;ee nagaraniki emaindi;tharun bhascker;vishwaksen naidu, sushanth reddy, abhinav gomatam, venkatesh kakumanu, anisha ambrose, simran choudhary;india;september 6, 2019;2018;tv-14;133 min;comedies, international movies;in goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.;7,9 based on 1 486 user ratings
81132437;movie;kill me if you dare;åženol sã¶nmez;murat boz, seda bakan, aã§elya topaloäÿlu, ã–zgã¼r emre yä±ldä±rä±m, seda gã¼ven, yosi mizrahi, dilåÿad åžimåÿek, ali yoäÿurtã§uoäÿlu;nan;september 6, 2019;2019;tv-14;100 min;comedies, international movies, romantic movies;bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together â€“ till death do they part.;4,5 based on 1 219 user ratings
80178151;tv show;the spy;nan;sacha baron cohen, noah emmerich, hadar ratzon rotem, alexander siddig, waleed zuaiter, nassim lyes;france;september 6, 2019;2019;tv-ma;1 season;international tv shows, tv dramas, tv thrillers;in the 1960s, israeli clerk-turned-secret agent eli cohen goes deep undercover inside syria on a perilous, years-long mission to spy for mossad.;7,9 based on 24 694 user ratings
80058026;movie;hell and back;tom gianas, ross r. shuman;nick swardson, mila kunis, bob odenkirk, t.j. miller, rob riggle, susan sarandon, danny mcbride, jennifer coolidge, john farley, maria bamford;united states;september 6, 2018;2015;r;86 min;action & adventure, comedies, independent movies;when best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.;5,4 based on 4 636 user ratings
70303496;movie;pk;rajkumar hirani;aamir khan, anuskha sharma, sanjay dutt, saurabh shukla, parikshat sahni, sushant singh rajput, boman irani, rukhsar;india;september 6, 2018;2014;tv-14;146 min;comedies, dramas, international movies;aamir khan teams with director rajkumar hirani to play a social crusader in a political satire on the state of corruption in india.;8,1 based on 153 601 user ratings
80162141;movie;hard tide;robert osman, nathanael wiseman;nathanael wiseman, mem ferda, alexandra newick, oliver stark, kat gellin, andy lucas, ralph brown, beverly hills;united kingdom;september 6, 2017;2015;tv-ma;79 min;dramas, independent movies;a drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.;4,7 based on 163 user ratings
80095641;movie;elstree 1976;jon spira;paul blake, jeremy bulloch, john chapman, anthony forrest, laurie goode, garrick hagon, derek lyons, angus macinnes, david prowse, pam rose;united kingdom;september 6, 2016;2015;tv-pg;102 min;documentaries;"then and now footage of bit players who appeared in ""star wars"" tells the story of how the film and its legions of fans changed their lives forever.";5,9 based on 1 246 user ratings
81176188;movie;american factory: a conversation with the obamas;nan;president barack obama, michelle obama, julia reichert, steven bognar;nan;september 5, 2019;2019;tv-g;10 min;documentaries;barack and michelle obama talk with directors steven bognar and julia reichert about the documentary and the importance of storytelling.;5,3 based on 198 user ratings
80159880;movie;atm;mez tharatorn;chantavit dhanasevi, preechaya pongthananikorn, chaleumpol tikumpornteerawong, thawat pornrattanaprasert, sananthachat thanapatpisal, pongkool suebsung, puttachat pongsuchat, gornpop janjaroen, yanee tramoth, pongsatorn jongwilak;united states, canada;september 5, 2018;2012;tv-14;122 min;comedies, international movies, romantic movies;when a broken atm dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash â€“ and the loser must find a new job.;4,7 based on 22 369 user ratings
81016044;movie;bangkok traffic (love) story;adisorn tresirikasem;theeradej wongpuapan, sirin horwang, ungsumalynn sirapatsakmetha, panissara phimpru, taksaorn paksukcharern, charlie trairat, kazuki yano;thailand;september 5, 2018;2009;tv-14;126 min;comedies, international movies, romantic movies;after an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.;7,2 based on 1 580 user ratings
80158838;movie;i fine... thank you... love you;mez tharatorn;preechaya pongthananikorn, sunny suwanmethanont, sora aoi, puttachat pongsuchat, popetorn soonthornyanakij;thailand;september 5, 2018;2014;tv-14;116 min;comedies, international movies, romantic movies;desperate to go to the u.s. to win back his girlfriend, yim hires a tutor to teach him english. but things don't go according to plan.;7,0 based on 1 780 user ratings
81016045;movie;one day;banjong pisanthanakun;chantavit dhanasevi, nittha jirayungyurn, theerapat sajakul, prim bulakul, kris srepoomseth, somyos matures, sutthatip wutichaipradit, rermthon kemapech, kaz sawamura;thailand;september 5, 2018;2016;tv-pg;135 min;dramas, international movies, romantic movies;when his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.;7,0 based on 134 127 user ratings
70142798;movie;phobia 2;banjong pisanthanakun, paween purikitpanya, songyos sugmakanan, parkpoom wongpoom, visute poolvoralaks;jirayu la-ongmanee, charlie trairat, worrawech danuwong, marsha wattanapanich, nicole theriault, chumphorn thepphithak, gacha plienwithi, suteerush channukool, peeratchai roompol, nattapong chartpong;thailand;september 5, 2018;2009;tv-ma;125 min;horror movies, international movies;from disfiguring punishments to festering souls, thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.;6,7 based on 2 218 user ratings
70062814;movie;shutter;banjong pisanthanakun, parkpoom wongpoom;ananda everingham, natthaweeranuch thongmee, achita sikamana, unnop chanpaibool, titikarn tongprasearth, sivagorn muttamara, chachchaya chalemphol, kachormsak naruepatr;thailand;september 5, 2018;2004;tv-ma;96 min;horror movies, international movies;after killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.;7,1 based on 39 531 user ratings
80158839;movie;suckseed;chayanop boonprakob;jirayu la-ongmanee, pachara chirathivat, nattasha nauljam, thawat pornrattanaprasert;thailand;september 5, 2018;2011;tv-ma;130 min;comedies, international movies;when his boyhood crush ern returns, ped forms a band with his friend to impress her. romantic rivalries bloom after the talented ern joins the group.;7,5 based on 2 011 user ratings
80147760;movie;carrie pilby;susan johnson;bel powley, nathan lane, vanessa bayer, gabriel byrne, jason ritter, colin o'donoghue, william moseley, desmin borges;united states;september 5, 2017;2016;tv-14;98 min;comedies, dramas;a socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and â€“ maybe â€“ even go on a date.;6,6 based on 7 036 user ratings
80177405;movie;marc maron: too real;lynn shelton;marc maron;united states;september 5, 2017;2017;tv-ma;70 min;stand-up comedy;battle-scarred stand-up comedian marc maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.;7,2 based on 1 541 user ratings
80113482;tv show;no tomorrow;nan;joshua sasse, tori anderson, jonathan langdon, sarayu blue, jesse rath, amy pietz;united states;september 5, 2017;2016;tv-14;1 season;romantic tv shows, tv comedies, tv dramas;her straitjacketed life turned topsy-turvy by hunky xavier, evie discovers a new freedom â€“ even though her man just might be an end-of-days crackpot.;7,2 based on 4 586 user ratings
81160036;movie;saawan;farhan alam;karam hussain, arif bahlim, najiba faiz, saleem mairaj, imran aslam, daniyal yousuf, sohail malik, ali hafiz;pakistan;september 4, 2019;2016;tv-14;128 min;dramas, independent movies, international movies;outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. based on a true story.;7,1 based on 140 user ratings
81173255;movie;the heretics;chad archibald;nina kiri, ry barrett, jorja cadence, will king, nina richmond;canada;september 4, 2019;2017;tv-ma;88 min;horror movies;a withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.;4,7 based on 1 437 user ratings
81078908;movie;the world we make;brian baugh;caleb castille, rose reid, kevin sizemore, gregory alan williams;united states;september 4, 2019;2019;pg;108 min;dramas, romantic movies;a teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.;5,1 based on 451 user ratings
81155784;movie;watchman;a. l. vijay;g.v. prakash kumar, samyuktha hegde, suman, raj arjun, yogi babu, munishkanth;india;september 4, 2019;2019;tv-14;93 min;comedies, dramas, international movies;rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard â€“ or the trouble inside.;5,1 based on 231 user ratings
80201906;movie;black panther;ryan coogler;chadwick boseman, michael b. jordan, lupita nyong'o, danai gurira, martin freeman, daniel kaluuya, letitia wright, winston duke, sterling k. brown, angela bassett, forest whitaker, andy serkis, florence kasumba, john kani, david s. lee, stan lee;united states;september 4, 2018;2018;pg-13;135 min;action & adventure, sci-fi & fantasy;t'challa, the superpowered new leader of the hidden, highly advanced african nation of wakanda, strives to protect his home from enemies old and new.;7,3 based on 583 771 user ratings
80052612;movie;man up;ben palmer;lake bell, simon pegg, ophelia lovibond, olivia williams, rory kinnear, henry lloyd-hughes, ken stott, sharon horgan, harriet walter, stephen campbell moore, dean-charles chapman, phoebe waller-bridge;united kingdom, france;september 4, 2018;2015;r;88 min;comedies, international movies, romantic movies;a single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.;6,8 based on 47 275 user ratings
80113641;tv show;frequency;nan;peyton list, riley smith, mekhi phifer, devin kelley, lenny jacobson, daniel bonjour, anthony ruivivar;united states;september 4, 2017;2016;tv-14;1 season;crime tv shows, tv dramas, tv mysteries;a detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.;7,3 based on 98 560 user ratings
81054495;movie;mo gilligan: momentum;chris howe;mo gilligan;united kingdom;september 30, 2019;2019;tv-ma;64 min;stand-up comedy;comedian mo gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.;6,2 based on 282 user ratings
80996949;tv show;adam ruins everything;nan;adam conover, adam lustick, emily axford;united states;september 30, 2018;2018;tv-14;1 season;tv comedies;education can be fun â€“ and funny. comedian adam conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.;8,0 based on 5 938 user ratings
80239337;tv show;ben 10;nan;tara strong, montse hernandez, david kaye, roger craig smith, todd haberkorn, dwight schultz, daryl sabara;united states;september 30, 2018;2016;tv-y7;1 season;kids' tv;ben can transform into ten types of aliens. he'll try 'em all while adventuring across the country with his cousin gwen and grandpa max.;7,2 based on 11 665 user ratings
70212504;movie;big miracle;ken kwapis;drew barrymore, john krasinski, kristen bell, dermot mulroney, tim blake nelson, vinessa shaw, ted danson, stephen root, rob riggle, michael gaston;united states, united kingdom;september 30, 2018;2012;pg;107 min;children & family movies, dramas;after a reporter writes about whales trapped in the arctic circle, the u.s. and u.s.s.r. team up to rescue them in this tale inspired by true events.;6,5 based on 18 305 user ratings
81011682;tv show;christiane amanpour: sex & love around the world;nan;nan;united states;september 30, 2018;2018;tv-ma;1 season;docuseries;a contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. cnn's christiane amanpour reports.;7,4 based on 591 user ratings
80128317;tv show;the eighties;nan;nan;united states;september 30, 2018;2016;tv-pg;1 season;docuseries;this nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.;8,3 based on 1 082 user ratings
81027384;tv show;the nineties;nan;nan;united states;september 30, 2018;2017;tv-14;1 season;docuseries;this u.s.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. executive produced by tom hanks.;8,2 based on 892 user ratings
80030186;tv show;the seventies;nan;nan;united states;september 30, 2018;2015;tv-pg;1 season;docuseries;this series examines 1970s america, focusing on the major political and historical landmarks of the decade and the cultural response to those events.;8,3 based on 1 140 user ratings
80116921;tv show;we bare bears;nan;eric edelstein, demetri martin, bobby moynihan;united states;september 30, 2018;2017;tv-y7;1 season;kids' tv, tv comedies;grizzly, panda and ice bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.;7,9 based on 10 482 user ratings
80187061;movie;the mayor;park in-je;min-sik choi, do-won kwak, eun-kyung shim, so-ri moon, mi-ran ra, hye-young ryu, ki hong lee, sun-gyu jin, joo-yeon lee, byeong-eun park;south korea;september 30, 2017;2017;tv-ma;130 min;dramas, international movies;with the presidency in mind, the incumbent mayor of seoul runs for an unprecedented third term â€“ and will stop at nothing to keep his secrets hidden.;
80181555;tv show;the royal house of windsor;nan;nan;united kingdom;september 30, 2017;2017;tv-14;1 season;british tv shows, docuseries, international tv shows;drawing on newly available info, this show traces how the british royal family has survived the last 100 years of power struggles, politics and more.;7,4 based on 822 user ratings
80081155;movie;amanda knox;rod blackhurst, brian mcginn;nan;denmark, united states;september 30, 2016;2016;tv-ma;92 min;documentaries;she was twice convicted and acquitted of murder. amanda knox and the people closest to her case speak out in this illuminating documentary.;6,9 based on 19 624 user ratings
80184358;tv show;lovesick;nan;kongyingyong chonlathorn, phumphothingam nawat, luangsodsai anupart, nuchanart veerakaarn, chindavanich primrose, charnmanoon pannin, nungira hanwutinanon, ausavaterakul ausavapat, sirikiet saejea, nontapan chuenwarin;nan;september 3, 2018;2014;tv-14;1 season;international tv shows, romantic tv shows, tv dramas;love and academics get complicated at an all-male college that happens to be located next to an all-female high school.;8,1 based on 14 387 user ratings
80198585;movie;the debt collector;jesse v. johnson;scott adkins, louis mandylor, vladimir kulich, michael parã©, rachel brann, selina lo, tony todd;united kingdom, united states;september 3, 2018;2018;tv-ma;96 min;action & adventure;a broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.;5,7 based on 4 309 user ratings
70233894;movie;act of vengeance;mahsun kä±rmä±zä±gã¼l;haluk bilginer, mahsun kä±rmä±zä±gã¼l, mustafa sandal, gina gershon, robert patrick, danny glover, engin altan dã¼zyatan, scott william winters, sharrieff pugh;turkey, united states;september 29, 2018;2010;nr;112 min;action & adventure, international movies;"two turkish agents are sent to new york city on a mission to capture a notorious terrorist known only as ""dejjal"" (arabic for antichrist).";5,5 based on 694 user ratings
81011955;movie;paradise lost;monique gardenberg;jãºlio andrade, lee taylor, hermila guedes, julia konrad, erasmo carlos, marjorie estiano, seu jorge, jaloo, felipe abib, humberto carrã£o, malu galli;brazil;september 29, 2018;2018;tv-ma;111 min;dramas, independent movies, international movies;a cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.;7,2 based on 122 user ratings
80128722;movie;gerald's game;mike flanagan;carla gugino, bruce greenwood, henry thomas, carel struycken, chiara aurelia;united states;september 29, 2017;2017;tv-ma;103 min;horror movies, thrillers;when her husband's sex game goes wrong, jessie â€“ handcuffed to a bed in a remote lake house â€“ faces warped visions, dark secrets and a dire choice.;6,6 based on 81 206 user ratings
80182115;movie;long shot;jacob lamendola;nan;united states;september 29, 2017;2017;tv-14;40 min;documentaries;when juan catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular tv show. a documentary.;6,8 based on 83 399 user ratings
80163293;tv show;mak cun;nan;erma fatima, rahim razali, umie aida, nora danish;nan;september 29, 2017;2015;tv-pg;1 season;international tv shows, tv comedies, tv dramas;a woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.;
80104068;movie;our souls at night;ritesh batra;robert redford, jane fonda, bruce dern, matthias schoenaerts, iain armitage, judy greer, phyllis somerville;united states;september 29, 2017;2017;tv-14;103 min;dramas, romantic movies;after widowed neighbors addie and louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.;6,9 based on 10 270 user ratings
80119349;movie;out of thin air;dylan howitt;nan;nan;september 29, 2017;2017;tv-14;85 min;documentaries, international movies;picking up 40 years after six were convicted for two strange murders in iceland, this chilling documentary proves confessions canâ€™t always be trusted.;6,3 based on 1 566 user ratings
80199032;tv show;paul hollywood's big continental road trip;nan;paul hollywood;united kingdom;september 29, 2017;2017;tv-14;1 season;british tv shows, docuseries, international tv shows;gear up for a fast-paced journey as celebrity chef and avid auto enthusiast paul hollywood takes in the cars and culture of france, italy and germany.;7,5 based on 116 user ratings
